name,sector
AT&T,Communication Services
Alphabet Inc.(Class A),Communication Services
Alphabet Inc.(Class C),Communication Services
Charter Communications,Communication Services
Comcast,Communication Services
EchoStar,Communication Services
Electronic Arts,Communication Services
Fox Corporation(Class A),Communication Services
Fox Corporation(Class B),Communication Services
Live Nation Entertainment,Communication Services
Meta Platforms,Communication Services
Netflix,Communication Services
News Corp(Class A),Communication Services
News Corp(Class B),Communication Services
Omnicom Group,Communication Services
Paramount Skydance Corporation,Communication Services
T-Mobile US,Communication Services
TKO Group Holdings,Communication Services
Take-Two Interactive,Communication Services
Trade Desk (The),Communication Services
Verizon,Communication Services
Walt Disney Company (The),Communication Services
Warner Bros. Discovery,Communication Services
Airbnb,Consumer Discretionary
Amazon,Consumer Discretionary
Aptiv,Consumer Discretionary
AutoZone,Consumer Discretionary
Best Buy,Consumer Discretionary
Booking Holdings,Consumer Discretionary
Carnival,Consumer Discretionary
Carvana,Consumer Discretionary
Chipotle Mexican Grill,Consumer Discretionary
D. R. Horton,Consumer Discretionary
Darden Restaurants,Consumer Discretionary
Deckers Brands,Consumer Discretionary
Domino's,Consumer Discretionary
DoorDash,Consumer Discretionary
Expedia Group,Consumer Discretionary
Ford Motor Company,Consumer Discretionary
Garmin,Consumer Discretionary
General Motors,Consumer Discretionary
Genuine Parts Company,Consumer Discretionary
Hasbro,Consumer Discretionary
Hilton Worldwide,Consumer Discretionary
Home Depot (The),Consumer Discretionary
Las Vegas Sands,Consumer Discretionary
Lennar,Consumer Discretionary
Lowe's,Consumer Discretionary
Lululemon Athletica,Consumer Discretionary
MGM Resorts,Consumer Discretionary
Marriott International,Consumer Discretionary
McDonald's,Consumer Discretionary
"NVR, Inc.",Consumer Discretionary
"Nike, Inc.",Consumer Discretionary
Norwegian Cruise Line Holdings,Consumer Discretionary
O’Reilly Automotive,Consumer Discretionary
Pool Corporation,Consumer Discretionary
PulteGroup,Consumer Discretionary
Ralph Lauren Corporation,Consumer Discretionary
Ross Stores,Consumer Discretionary
Royal Caribbean Group,Consumer Discretionary
Starbucks,Consumer Discretionary
TJX Companies,Consumer Discretionary
"Tapestry, Inc.",Consumer Discretionary
"Tesla, Inc.",Consumer Discretionary
Tractor Supply,Consumer Discretionary
Ulta Beauty,Consumer Discretionary
"Williams-Sonoma, Inc.",Consumer Discretionary
Wynn Resorts,Consumer Discretionary
Yum! Brands,Consumer Discretionary
eBay Inc.,Consumer Discretionary
Altria,Consumer Staples
Archer Daniels Midland,Consumer Staples
Brown–Forman,Consumer Staples
Bunge Global,Consumer Staples
Campbell's Company (The),Consumer Staples
Casey's,Consumer Staples
Church & Dwight,Consumer Staples
Clorox,Consumer Staples
Coca-Cola Company (The),Consumer Staples
Colgate-Palmolive,Consumer Staples
Conagra Brands,Consumer Staples
Constellation Brands,Consumer Staples
Costco,Consumer Staples
Dollar General,Consumer Staples
Dollar Tree,Consumer Staples
Estée Lauder Companies (The),Consumer Staples
General Mills,Consumer Staples
Hershey Company (The),Consumer Staples
Hormel Foods,Consumer Staples
J.M. Smucker Company (The),Consumer Staples
Kenvue,Consumer Staples
Keurig Dr Pepper,Consumer Staples
Kimberly-Clark,Consumer Staples
Kraft Heinz,Consumer Staples
Kroger,Consumer Staples
McCormick & Company,Consumer Staples
Molson Coors Beverage Company,Consumer Staples
Mondelez International,Consumer Staples
Monster Beverage,Consumer Staples
PepsiCo,Consumer Staples
Philip Morris International,Consumer Staples
Procter & Gamble,Consumer Staples
Sysco,Consumer Staples
Target Corporation,Consumer Staples
Tyson Foods,Consumer Staples
Walmart,Consumer Staples
APA Corporation,Energy
Baker Hughes,Energy
Chevron Corporation,Energy
ConocoPhillips,Energy
Coterra,Energy
Devon Energy,Energy
Diamondback Energy,Energy
EOG Resources,Energy
EQT Corporation,Energy
Expand Energy,Energy
ExxonMobil,Energy
Halliburton,Energy
Kinder Morgan,Energy
Marathon Petroleum,Energy
Occidental Petroleum,Energy
Oneok,Energy
Phillips 66,Energy
Schlumberger,Energy
Targa Resources,Energy
Texas Pacific Land Corporation,Energy
Valero Energy,Energy
Williams Companies,Energy
Aflac,Financials
Allstate,Financials
American Express,Financials
American International Group,Financials
Ameriprise Financial,Financials
Aon plc,Financials
Apollo Global Management,Financials
Arch Capital Group,Financials
Ares Management,Financials
Arthur J. Gallagher & Co.,Financials
Assurant,Financials
BNY Mellon,Financials
Bank of America,Financials
Berkshire Hathaway,Financials
BlackRock,Financials
Blackstone Inc.,Financials
"Block, Inc.",Financials
Brown & Brown,Financials
CME Group,Financials
Capital One,Financials
Cboe Global Markets,Financials
Charles Schwab Corporation,Financials
Chubb Limited,Financials
Cincinnati Financial,Financials
Citigroup,Financials
Citizens Financial Group,Financials
Coinbase,Financials
Corpay,Financials
Erie Indemnity,Financials
Everest Group,Financials
FactSet,Financials
Fidelity National Information Services,Financials
Fifth Third Bancorp,Financials
Fiserv,Financials
Franklin Resources,Financials
Global Payments,Financials
Globe Life,Financials
Goldman Sachs,Financials
Hartford (The),Financials
Huntington Bancshares,Financials
Interactive Brokers,Financials
Intercontinental Exchange,Financials
Invesco,Financials
JPMorgan Chase,Financials
Jack Henry & Associates,Financials
KKR & Co.,Financials
KeyCorp,Financials
Loews Corporation,Financials
M&T Bank,Financials
MSCI Inc.,Financials
Marsh McLennan,Financials
Mastercard,Financials
MetLife,Financials
Moody's Corporation,Financials
Morgan Stanley,Financials
"Nasdaq, Inc.",Financials
Northern Trust,Financials
PNC Financial Services,Financials
PayPal,Financials
Principal Financial Group,Financials
Progressive Corporation,Financials
Prudential Financial,Financials
Raymond James Financial,Financials
Regions Financial Corporation,Financials
Robinhood Markets,Financials
S&P Global,Financials
State Street Corporation,Financials
Synchrony Financial,Financials
T. Rowe Price,Financials
Travelers Companies (The),Financials
Truist Financial,Financials
U.S. Bancorp,Financials
Visa Inc.,Financials
W. R. Berkley Corporation,Financials
Wells Fargo,Financials
Willis Towers Watson,Financials
AbbVie,Health Care
Abbott Laboratories,Health Care
Agilent Technologies,Health Care
Align Technology,Health Care
Amgen,Health Care
Baxter International,Health Care
Becton Dickinson,Health Care
Bio-Techne,Health Care
Biogen,Health Care
Boston Scientific,Health Care
Bristol Myers Squibb,Health Care
CVS Health,Health Care
Cardinal Health,Health Care
Cencora,Health Care
Centene Corporation,Health Care
Charles River Laboratories,Health Care
Cigna,Health Care
Cooper Companies (The),Health Care
DaVita,Health Care
Danaher Corporation,Health Care
Dexcom,Health Care
Edwards Lifesciences,Health Care
Elevance Health,Health Care
GE HealthCare,Health Care
Gilead Sciences,Health Care
HCA Healthcare,Health Care
Henry Schein,Health Care
Humana,Health Care
IQVIA,Health Care
Idexx Laboratories,Health Care
Incyte,Health Care
