name,type,region
Brown University,Ivy,Northeast
Columbia University in the City of New York,Ivy,Northeast
Cornell University,Ivy,Northeast
Dartmouth College,Ivy,Northeast
Harvard University,Ivy,Northeast
Princeton University,Ivy,Northeast
University of Pennsylvania,Ivy,Northeast
Yale University,Ivy,Northeast
George Washington University,Elite Private,South
Johns Hopkins University,Elite Private,South
New York University,Elite Private,Northeast
Northeastern University,Elite Private,Northeast
Northwestern University,Elite Private,Midwest
Pacific Oaks College,Elite Private,West
Rice University,Elite Private,South
Stanford University,Elite Private,West
Tufts University,Elite Private,Northeast
University of Chicago,Elite Private,Midwest
University of Southern California,Elite Private,West
Vanderbilt University,Elite Private,South
Washington University in St Louis,Elite Private,Midwest
California Institute of Technology,Tech,West
California Polytechnic State University-San Luis Obispo,Tech,West
Colorado School of Mines,Tech,West
Franklin W Olin College of Engineering,Tech,Northeast
Georgia Institute of Technology-Main Campus,Tech,South
Illinois Institute of Technology,Tech,Midwest
Massachusetts Institute of Technology,Tech,Northeast
Rose-Hulman Institute of Technology,Tech,Midwest
Webb Institute,Tech,Northeast
Worcester Polytechnic Institute,Tech,Northeast
Indiana University-Bloomington,Public Flagship,Midwest
Michigan State University,Public Flagship,Midwest
Ohio State University-Main Campus,Public Flagship,Midwest
Purdue University-Main Campus,Public Flagship,Midwest
Rutgers University-New Brunswick,Public Flagship,Northeast
The University of Texas at Austin,Public Flagship,South
University of Arizona,Public Flagship,West
University of California-Berkeley,Public Flagship,West
University of California-Irvine,Public Flagship,West
University of California-Los Angeles,Public Flagship,West
University of California-San Diego,Public Flagship,West
University of Colorado Boulder,Public Flagship,West
University of Florida,Public Flagship,South
University of Georgia,Public Flagship,South
University of Illinois Urbana-Champaign,Public Flagship,Midwest
University of Iowa,Public Flagship,Midwest
University of Maryland-College Park,Public Flagship,South
University of Michigan-Ann Arbor,Public Flagship,Midwest
University of Minnesota-Twin Cities,Public Flagship,Midwest
University of North Carolina at Chapel Hill,Public Flagship,South
University of Virginia-Main Campus,Public Flagship,South
University of Washington-Seattle Campus,Public Flagship,West
University of Wisconsin-Madison,Public Flagship,Midwest
Colorado State University-Fort Collins,Public Regional,West
Florida International University,Public Regional,South
Florida State University,Public Regional,South
Iowa State University,Public Regional,Midwest
Mississippi State University,Public Regional,South
San Diego State University,Public Regional,West
The University of Alabama,Public Regional,South
University of Alabama at Birmingham,Public Regional,South
